id,city,longitude,laitude,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,timezone,country,state,date_captured,time_captured
1275339,Mumbai,72.8479,19.0144,300.67,299.15,302.15,1010,48,3.6,290,19800,India,Maharashtra,2021-01-23,18:30:19
1273294,Delhi,77.2167,28.6667,289.99,289.82,290.15,1011,63,3.6,110,19800,India,Delhi,2021-01-23,18:30:19
1275004,Kolkata,88.3697,22.5697,294.48,294.15,294.82,1011,64,1.89,340,19800,India,West Bengal,2021-01-23,18:30:19
1264527,Chennai,80.2785,13.0878,300.15,300.15,300.15,1012,69,3.6,120,19800,India,Tamil Nadu,2021-01-23,18:30:19
1277333,Bengaluru,77.6033,12.9762,299.76,299.15,300.15,1014,41,1.54,90,19800,India,Karnataka,2021-01-23,18:30:19
1269843,Hyderabad,78.4744,17.3753,299.85,299.15,300.37,1014,57,1.54,90,19800,India,Andhra Pradesh,2021-01-23,18:30:19
1264733,Lucknow,80.9167,26.85,286.15,286.15,286.15,1012,88,1.0,103,19800,India,Uttar Pradesh,2021-01-23,18:30:19
1260086,Patna,85.1167,25.6,286.15,286.15,286.15,1012,88,2.06,30,19800,India,Bihar,2021-01-23,18:30:19
1275841,Bhopal,77.4,23.2667,298.15,298.15,298.15,1013,47,2.57,310,19800,India,Madhya Pradesh,2021-01-23,18:30:19
1255634,Srinagar,74.8167,34.0833,274.33,274.33,274.33,1013,90,0.22,96,19800,India,Jammu and Kashmir,2021-01-23,18:30:19
1258526,Ranchi,85.3333,23.35,294.15,294.15,294.15,1014,35,1.03,30,19800,India,Jharkhand,2021-01-23,18:30:19
1274746,Chandigarh,76.7933,30.7343,289.82,289.82,289.82,1012,52,4.12,150,19800,India,Chandigarh,2021-01-23,18:30:19
1254163,Trivandrum,76.9167,8.4833,303.15,303.15,303.15,1009,74,1.54,310,19800,India,Kerala,2021-01-23,18:30:19
1258980,Raipur,81.6333,21.2333,295.47,295.47,295.47,1011,23,1.4,140,19800,India,Chhattisgarh,2021-01-23,18:30:19
1275817,Bhubaneswar,85.8333,20.2333,300.15,300.15,300.15,1011,50,4.12,190,19800,India,Odisha,2021-01-23,18:30:19
1273313,Dehra Dun,78.0333,30.3167,287.05,287.05,287.05,1014,48,1.44,84,19800,India,Uttarakhand,2021-01-23,18:30:19
1256523,Shillong,91.8831,25.5689,291.15,291.15,291.15,1011,72,0.13,222,19800,India,Meghalaya,2021-01-23,18:30:19
1279186,Aizawl,92.7167,23.7333,282.41,282.41,282.41,1014,62,0.62,182,19800,India,Mizoram,2021-01-23,18:30:19
1269771,Imphal,93.95,24.8167,287.15,287.15,287.15,1013,62,2.06,340,19800,India,Manipur,2021-01-23,18:30:19
1259424,Puducherry,79.8167,11.9333,298.39,298.39,298.39,1012,74,4.29,86,19800,India,Puducherry,2021-01-23,18:30:19
1279290,Agartala,91.275,23.8364,289.15,289.15,289.15,1013,94,0.36,294,19800,India,Tripura,2021-01-23,18:30:19
1256237,Shimla,77.1667,31.1,279.61,279.61,279.61,1013,62,2.01,164,19800,India,Himachal Pradesh,2021-01-23,18:30:19
1259385,Port Blair,92.75,11.6667,298.82,298.82,298.82,1011,66,3.73,41,19800,India,Andaman and Nicobar Islands,2021-01-23,18:30:19
1266366,Kohima,94.1167,25.6667,283.09,283.09,283.09,1013,89,0.37,181,19800,India,Nagaland,2021-01-23,18:30:19
1271631,Gangtok,88.6167,27.3333,282.23,282.23,282.23,1014,73,0.33,181,19800,India,Sikkim,2021-01-23,18:30:19
1260607,Panjim,73.8333,15.4833,301.15,301.15,301.15,1009,74,4.63,320,19800,India,Goa,2021-01-23,18:30:19
1269655,Itanagar,93.6167,27.1,292.15,292.15,292.15,1011,82,0.51,110,19800,India,Arunachal Pradesh,2021-01-23,18:30:19
1273618,Daman,72.85,20.4167,296.93,296.93,296.93,1011,58,2.31,309,19800,India,Daman  and Diu,2021-01-23,18:30:19
1256259,Silvassa,73.0167,20.2667,296.67,296.67,296.67,1011,51,2.04,305,19800,India,Dadra and Nagar Haveli,2021-01-23,18:30:19
1272508,Dispur,91.7889,26.1425,291.15,291.15,291.15,1011,72,0.41,179,19800,India,Assam,2021-01-23,18:30:19
1267390,Kavaratti,72.642,10.5669,300.59,300.59,300.59,1010,69,4.98,356,19800,India,Lakshadweep,2021-01-23,18:30:19
1269515,Jaipur,75.8167,26.9167,296.15,296.15,296.15,1011,27,3.6,310,19800,India,Rajasthan,2021-01-23,18:30:19
1271715,Gandhinagar,72.6833,23.2167,299.15,299.15,299.15,1010,53,2.06,300,19800,India,Gujarat,2021-01-23,18:30:19
